CutOffDateTimeCode,CutOffDateTimeName
DCO,Documentation cut-off
VCO,VGM cut-off
FCO,FCL delivery cut-off
LCO,LCL delivery cut-off
PCO,Port cut-off
ECP,Empty container pick-up date and time
EFC,Earliest full-container delivery date
RCO,Reefer cut-off
DGC,Dangerous Goods cut-off
OBC,OOG/BB cut-off
TCO,Transhipment cut-off
STA,Standard booking acceptance
SPA,Special booking acceptance
CUA,Customs Acceptance
AFC,Advanced filling cut-off
